 1.95056 -1.19032E-11  2.82855E-11 -1.78593E-13  1.20336E-12 -1.35367E+00  9.03917E-01  1.35367E+00  9.03917E-01  2.75111E+00 -3.72017E-02  2.13217E+00 -1.08758E+00 -2.75111E+00 -3.72017E-02          NaN          NaN
 2.04296 -2.11090E-11  3.68681E-11 -1.55177E-12  2.45603E-12 -1.50405E+00  8.89128E-01  1.50405E+00  8.89128E-01  2.88144E+00 -3.89637E-02  2.23318E+00 -1.13911E+00 -2.88144E+00 -3.89637E-02          NaN          NaN
 2.13537 -2.51824E-12  1.48713E-11 -5.58217E-13  2.00266E-12 -1.66433E+00  8.64198E-01  1.66433E+00  8.64198E-01  3.01177E+00 -4.07257E-02  2.33419E+00 -1.19063E+00 -3.01177E+00 -4.07257E-02          NaN          NaN
 2.22778  2.59903E-12 -1.41825E-11  2.80414E-12  1.19646E-13 -1.83530E+00  8.27483E-01  1.83530E+00  8.27483E-01  3.14209E+00 -4.24876E-02  2.43520E+00 -1.24216E+00 -3.14209E+00 -4.24876E-02          NaN          NaN
 2.32019 -4.50802E-12 -4.45591E-11  4.06195E-12 -7.16266E-13 -2.01814E+00  7.76837E-01  2.01814E+00  7.76837E-01  3.27242E+00 -4.42495E-02  2.53622E+00 -1.29368E+00 -3.27242E+00 -4.42495E-02          NaN          NaN
 2.41259 -3.41946E-11 -6.60236E-11  2.96532E-12 -4.25674E-13 -2.21467E+00  7.09340E-01  2.21467E+00  7.09340E-01  3.40274E+00 -4.60113E-02  2.63723E+00 -1.34521E+00 -3.40274E+00 -4.60113E-02          NaN          NaN
 2.50500 -6.00280E-11 -7.66195E-11 -4.99760E-13  1.00152E-12 -2.42801E+00  6.20819E-01  2.42801E+00  6.20819E-01  3.53306E+00 -4.77731E-02  2.73824E+00 -1.39673E+00 -3.53306E+00 -4.77731E-02          NaN          NaN
 2.59741 -7.04500E-11 -3.95942E-11 -5.38891E-12  3.99129E-12 -2.66430E+00  5.04970E-01  2.66430E+00  5.04970E-01  3.66338E+00 -4.95347E-02  2.83925E+00 -1.44826E+00 -3.66338E+00 -4.95347E-02          NaN          NaN
 2.68981 -6.01100E-11  3.40746E-11 -1.09471E-11  8.73933E-12 -2.93840E+00  3.52323E-01  2.93840E+00  3.52323E-01  3.79370E+00 -5.12963E-02  2.94026E+00 -1.49978E+00 -3.79370E+00 -5.12963E-02          NaN          NaN
 2.78222  1.13754E-12  2.05047E-11 -1.70826E-11  1.44950E-11 -3.29559E+00  1.61121E-01  3.29558E+00  1.61121E-01  3.92402E+00 -5.30579E-02  3.04127E+00 -1.55131E+00 -3.92402E+00 -5.30579E-02          NaN          NaN
 2.87463  9.72371E-11 -4.97024E-11 -8.38457E-12  3.76825E-12 -3.77637E+00  3.39413E-02  3.77637E+00  3.39413E-02  4.05434E+00 -5.48193E-02  3.14229E+00 -1.60284E+00 -4.05434E+00 -5.48193E-02          NaN          NaN
 2.96704 -2.48009E-12 -5.41322E-12  1.57589E-11 -2.20379E-11 -4.24734E+00  6.65353E-03  4.24734E+00  6.65353E-03  4.18465E+00 -5.65807E-02  3.24330E+00 -1.65436E+00 -4.18465E+00 -5.65807E-02          NaN          NaN
 3.05944  1.56220E-11  3.52142E-11  4.30856E-11 -6.06874E-11 -4.69183E+00  1.43867E-03  4.69183E+00  1.43867E-03  4.31497E+00 -5.83420E-02  3.34431E+00 -1.70589E+00 -4.31497E+00 -5.83420E-02          NaN          NaN
