  0.01000000    0.3678339123E+00   -0.8824495455E-20
  0.06537037    0.3712418614E+00   -0.4296303582E-07
  0.12074074    0.3794322226E+00   -0.2516961192E-04
  0.17611111    0.3917535234E+00   -0.1295273677E-03
  0.23148148    0.4071068653E+00   -0.1949704810E-03
  0.28685185    0.4240689907E+00    0.1007015520E-02
  0.34222222    0.4436877379E+00    0.5925604667E-02
  0.39759259    0.4692849995E+00    0.1351728369E-01
  0.45296296    0.5008522750E+00    0.1999541132E-01
  0.50833333    0.5358203592E+00    0.2368399026E-01
  0.56370370    0.5721753561E+00    0.2485955727E-01
  0.61907407    0.6089007458E+00    0.2426540796E-01
  0.67444444    0.6455662754E+00    0.2255456912E-01
  0.72981481    0.6820235576E+00    0.2020037690E-01
  0.78518519    0.7182508598E+00    0.1752360191E-01
  0.84055556    0.7542791868E+00    0.1473409650E-01
  0.89592593    0.7901576065E+00    0.1196511511E-01
  0.95129630    0.8259373506E+00    0.9298171095E-02
  1.00666667    0.8616649873E+00    0.6780281252E-02
  1.06203704    0.8973799810E+00    0.4435729120E-02
  1.11740741    0.9331143308E+00    0.2274027852E-02
  1.17277778    0.9688931359E+00    0.2952860611E-03
  1.22814815    0.1004735499E+01   -0.1506193575E-02
  1.28351852    0.1040655523E+01   -0.3139510879E-02
  1.33888889    0.1076663221E+01   -0.4615578962E-02
  1.39425926    0.1112765337E+01   -0.5946084361E-02
  1.44962963    0.1148966023E+01   -0.7142819212E-02
  1.50500000    0.1185267416E+01   -0.8217264675E-02
  1.56037037    0.1221670095E+01   -0.9180342651E-02
  1.61574074    0.1258173457E+01   -0.1004228018E-01
  1.67111111    0.1294776010E+01   -0.1081254765E-01
  1.72648148    0.1331475612E+01   -0.1149984499E-01
  1.78185185    0.1368269655E+01   -0.1211211782E-01
  1.83722222    0.1405155059E+01   -0.1265665070E-01
  1.89259259    0.1442128954E+01   -0.1313989786E-01
  1.94796296    0.1479187958E+01   -0.1356783127E-01
  2.00333333    0.1516328759E+01   -0.1394580591E-01
  2.05870370    0.1553548042E+01   -0.1427865392E-01
  2.11407407    0.1590842525E+01   -0.1457073275E-01
  2.16944444    0.1628208993E+01   -0.1482597049E-01
  2.22481481    0.1665644313E+01   -0.1504790782E-01
  2.28018519    0.1703145451E+01   -0.1523973649E-01
  2.33555556    0.1740709481E+01   -0.1540433438E-01
  2.39092593    0.1778333590E+01   -0.1554429733E-01
  2.44629630    0.1816015084E+01   -0.1566196799E-01
  2.50166667    0.1853751384E+01   -0.1575946093E-01
  2.55703704    0.1891540030E+01   -0.1583868673E-01
  2.61240741    0.1929378676E+01   -0.1590137239E-01
  2.66777778    0.1967265050E+01   -0.1594910315E-01
  2.72314815    0.2005197100E+01   -0.1598325123E-01
  2.77851852    0.2043172774E+01   -0.1600511538E-01
  2.83388889    0.2081190151E+01   -0.1601585749E-01
  2.88925926    0.2119247409E+01   -0.1601652939E-01
  2.94462963    0.2157342817E+01   -0.1600808620E-01
